insightTrafficSourceType,views,estimatedMinutesWatched,averageViewDuration,averageViewPercentage,engagedViews
NO_LINK_OTHER,8,29,219,8.22,8
SUBSCRIBER,254,740,174,15.55,254
YT_CHANNEL,94,104,66,1.51,94
YT_SEARCH,5,4,48,5.99,5
RELATED_VIDEO,2,1,42,3.66,2
YT_OTHER_PAGE,943,2470,157,18.68,943
PLAYLIST,6,3,36,3.91,6
HASHTAGS,1,2,136,21.08,1
