insightTrafficSourceType,views,estimatedMinutesWatched,averageViewDuration,averageViewPercentage,engagedViews
NO_LINK_OTHER,1,0,11,1.97,1
SUBSCRIBER,58,142,147,12.740000000000002,58
YT_CHANNEL,24,17,43,3.05,24
YT_OTHER_PAGE,235,701,179,19.83,235
PLAYLIST,1,0,25,1.6399999999999997,1
