insightTrafficSourceType,views,estimatedMinutesWatched,averageViewDuration,averageViewPercentage,engagedViews
NO_LINK_OTHER,1,0,11,1.97,1
SUBSCRIBER,56,142,152,12.97,56
YT_CHANNEL,24,17,43,3.05,24
YT_OTHER_PAGE,219,640,175,19.44,219
PLAYLIST,1,0,25,1.6399999999999997,1
