insightTrafficSourceType,views,estimatedMinutesWatched,averageViewDuration,averageViewPercentage,engagedViews
NO_LINK_OTHER,56,112,120,10.52,56
SUBSCRIBER,1186,3688,186,17.12,1186
YT_CHANNEL,456,962,126,5.31,456
YT_SEARCH,23,69,180,21.69,23
RELATED_VIDEO,19,62,196,13.16,19
YT_OTHER_PAGE,4580,11274,147,19.21,4580
EXT_URL,20,65,195,29.609999999999996,20
PLAYLIST,37,53,86,6.570000000000001,37
HASHTAGS,1,2,136,21.08,1
