insightTrafficSourceType,views,estimatedMinutesWatched,averageViewDuration,averageViewPercentage,engagedViews
NO_LINK_OTHER,402,812,121,18.24,402
SUBSCRIBER,5103,15990,188,24.87,5103
YT_CHANNEL,1163,2123,109,3.82,1163
YT_SEARCH,892,2057,138,21.84,892
RELATED_VIDEO,183587,456761,149,26.030000000000005,183587
YT_OTHER_PAGE,19764,49772,151,22.5,19764
EXT_URL,53,99,112,18.49,53
PLAYLIST,151,234,93,11.24,151
END_SCREEN,1,2,138,62.85000000000001,1
HASHTAGS,1,2,136,21.08,1
