country,views,engagedViews,watchTimeHours,subscribers,averageViewDuration,averageViewPercentage
MG,37727,37727,1871.03,0,178,35.18
CD,36844,36844,1656.55,0,161,36.66
MO,35648,35648,1740.92,0,175,39.53
GP,32525,32525,1877.97,0,207,42.23
GM,30363,30363,1508.13,0,178,32.83
YT,29105,29105,1528.03,0,189,37.27
LC,25591,25591,1720.18,0,241,58.18
GD,24020,24020,1522.2,0,228,52.800000000000004
MQ,23180,23180,1339.43,0,208,42.24
GU,22578,22578,1155.78,0,184,34.89
VC,22388,22388,1368.25,0,220,51.71
BF,22030,22030,998.1,0,163,33.38
NC,21841,21841,1163.03,0,191,35.78
PF,20309,20309,1289.63,0,228,51.28
PG,19887,19887,960.88,0,173,36.8
CV,19705,19705,1018.53,0,186,39.73
WS,19077,19077,883.7,0,166,31.69
BJ,18833,18833,944.53,0,180,34.54
CW,12999,12999,979.07,0,271,59.24
SZ,12232,12232,617.15,0,181,35.82
IS,10803,10803,981.3,0,327,71.38
DJ,10596,10596,424.18,0,144,30.159999999999997
DM,10578,10578,556.78,0,189,47.82
AG,10292,10292,754.18,0,263,62.71
BI,10282,10282,518.18,0,181,35.54
MW,9927,9927,527.07,0,191,46.67
NE,9498,9498,432.18,0,163,28.89
CG,9127,9127,659.83,0,260,64.83
SL,8749,8749,450.2,0,185,41.82
SM,7534,7534,85.6,0,40,6.660000000000001
FM,7445,7445,498.87,0,241,54.449999999999996
TO,6689,6689,307.52,0,165,29.53
AS,6515,6515,397.77,0,219,53.47
SC,5613,5613,296.62,0,190,41.75
GN,5407,5407,240.87,0,160,30.760000000000005
VI,5357,5357,423.55,0,284,58.31000000000001
TC,5243,5243,296.83,0,203,40.78
KN,5194,5194,415.02,0,287,69.61
AW,5022,5022,396.72,0,284,58.77
CN,4720,4720,397.7,0,303,88.82
GI,4108,4108,177.35,0,155,24.32
MH,3390,3390,208.0,0,220,49.31
KY,3257,3257,282.08,0,311,68.65
FO,3251,3251,254.65,0,282,56.34
GL,3183,3183,402.25,0,454,139.03
VU,2998,2998,165.83,0,199,48.7
SX,2978,2978,209.28,0,253,51.910000000000004
MP,2903,2903,139.28,0,172,29.350000000000005
LS,2739,2739,160.07,0,210,51
IM,2382,2382,96.53,0,145,24.61
SB,2334,2334,121.28,0,187,82.89
LR,2061,2061,104.28,0,182,38.33
KM,2043,2043,81.47,0,143,36.61
BM,1862,1862,106.17,0,205,36.24
JE,1846,1846,131.5,0,256,50.66
VG,1685,1685,157.77,0,337,79.22
GQ,1652,1652,82.58,0,179,32.11
AD,1625,1625,92.28,0,204,40.31
GG,1335,1335,107.38,0,289,49.91
TD,1194,1194,45.17,0,136,30.820000000000004
AI,1184,1184,72.73,0,221,39.99
PW,1176,1176,73.45,0,224,28.57
GW,1033,1033,50.07,0,174,42.32
MF,944,944,68.32,0,260,55.169999999999995
BQ,750,750,69.6,0,334,68.83
KI,561,561,34.6,0,222,209.21000000000004
ST,352,352,29.82,0,305,118.14
SS,300,300,19.72,0,236,515.41
BL,271,271,30.3,0,402,154.04
CK,268,268,13.53,0,181,103.31000000000002
LI,259,259,24.82,0,345,60.919999999999995
NR,250,250,13.3,0,191,49.56
AX,102,102,4.67,0,165,25.19
WF,49,49,4.0,0,294,0
MC,48,48,2.15,0,161,24.7
TV,22,22,0.07,0,12,2.59
MS,10,10,0.6,0,218,34.19
