insightTrafficSourceType,views,estimatedMinutesWatched,averageViewDuration,averageViewPercentage,engagedViews
NO_LINK_OTHER,2,35,1078,65.36,2
SUBSCRIBER,34,272,481,28.410000000000004,34
YT_CHANNEL,6,2,32,2.74,5
RELATED_VIDEO,5,68,817,48.71,5
