insightTrafficSourceType,views,estimatedMinutesWatched,averageViewDuration,averageViewPercentage,engagedViews
NO_LINK_OTHER,10,124,749,46.41,10
SUBSCRIBER,286,2100,442,28.300000000000004,285
YT_CHANNEL,23,29,85,7.1,21
YT_SEARCH,4,1,104,103.34,1
RELATED_VIDEO,10,91,549,33.99,10
YT_OTHER_PAGE,29,52,108,8.31,29
EXT_URL,3,0,18,1.5,3
PLAYLIST,4,3,50,3.95,4
NOTIFICATION,11,45,250,15.289999999999997,11
END_SCREEN,1,4,289,17.36,1
SHORTS,0,0,0,0,0
