insightTrafficSourceType,views,estimatedMinutesWatched,averageViewDuration,averageViewPercentage,engagedViews
NO_LINK_OTHER,12,141,707,44.71,12
SUBSCRIBER,316,2313,440,28.499999999999996,315
YT_CHANNEL,23,29,85,7.1,21
YT_SEARCH,4,1,104,103.34,1
RELATED_VIDEO,13,92,425,27.029999999999998,13
YT_OTHER_PAGE,37,56,91,7.07,37
EXT_URL,4,0,14,1.13,4
PLAYLIST,4,3,50,3.95,4
NOTIFICATION,12,46,232,14.3,12
END_SCREEN,1,4,289,17.36,1
SHORTS,2,0,15,28.850000000000005,1
